context,result,question,A,B,C,D
"1. Giữa cảnh nhộn nhịp của giờ ra chơi, từ phía cổng trường bỗng xuất hiện một chú bộ đội. Chú là bố của Dũng. Chú tìm đến lớp của con mình để chào thầy giáo cũ.

2. Vừa tới cửa lớp, thấy thầy giáo bước ra, chú vội bỏ mũ, lễ phép chào thầy. Thầy nhấc kính, chớp mắt ngạc nhiên. Chú liền nói:

- Thưa thầy, em là Khánh, đứa học trò năm nào trèo cửa sổ lớp bị thầy phạt đấy ạ!

Thầy giáo cười vui vẻ:

- À, Khánh! Thầy nhớ ra rồi. Nhưng... hình như hôm ấy thầy có phạt em đâu!

- Vâng, thầy không phạt. Nhưng thầy buồn. Lúc ấy, thầy bảo: ""Trước khi làm việc gì, cần phải nghĩ chứ! Thôi, em về đi, thầy không phạt em đâu.""

3. Giờ ra chơi đã hết. Dũng xúc động nhìn theo bố đang đi ra phía cổng trường rồi lại nhìn khung cửa sổ lớp học. Em nghĩ: bố cũng có lần mắc lỗi, thầy không phạt, nhưng bố nhận đó là hình phạt và nhớ mãi. Nhớ để không bao giờ mắc lại nữa.",[D],Dũng đã có suy nghĩ gì khi bố đã ra về?,Bố cũng có lần mắc lỗi hồi còn đi học và đó lại là kỉ niệm đẹp đối với bố.,Bố của Dũng cũng từng là cậu học trò rất nghịch ngợm từng bị thầy trách phạt.,Bố cũng có lần mắc lỗi ở trường học và từng bị thầy trách phạt.,"Bố cũng có lần mắc lỗi, thầy không trách phạt nhưng bố nhận đó là hình phạt và nhớ mãi."
"1. Giữa cảnh nhộn nhịp của giờ ra chơi, từ phía cổng trường bỗng xuất hiện một chú bộ đội. Chú là bố của Dũng. Chú tìm đến lớp của con mình để chào thầy giáo cũ.

2. Vừa tới cửa lớp, thấy thầy giáo bước ra, chú vội bỏ mũ, lễ phép chào thầy. Thầy nhấc kính, chớp mắt ngạc nhiên. Chú liền nói:

- Thưa thầy, em là Khánh, đứa học trò năm nào trèo cửa sổ lớp bị thầy phạt đấy ạ!

Thầy giáo cười vui vẻ:

- À, Khánh! Thầy nhớ ra rồi. Nhưng... hình như hôm ấy thầy có phạt em đâu!

- Vâng, thầy không phạt. Nhưng thầy buồn. Lúc ấy, thầy bảo: ""Trước khi làm việc gì, cần phải nghĩ chứ! Thôi, em về đi, thầy không phạt em đâu.""

3. Giờ ra chơi đã hết. Dũng xúc động nhìn theo bố đang đi ra phía cổng trường rồi lại nhìn khung cửa sổ lớp học. Em nghĩ: bố cũng có lần mắc lỗi, thầy không phạt, nhưng bố nhận đó là hình phạt và nhớ mãi. Nhớ để không bao giờ mắc lại nữa.",[B],Nội dung của bài đọc này là gì?,Chú bộ đội cùng bạn bè trở lại thăm ngôi trường xưa và các thầy cô.,"Chú bộ đội trở lại trường xưa thăm người thầy giáo cũ, người thầy ấy hiện cũng đang dạy con trai của chú.",Chú bộ đội và con trai gặp lại người thầy cũ trên đường đi làm.,"Chú bộ đội đưa con trai đi học, ngôi trường mà chú từng học tại đó."
"1. Giữa cảnh nhộn nhịp của giờ ra chơi, từ phía cổng trường bỗng xuất hiện một chú bộ đội. Chú là bố của Dũng. Chú tìm đến lớp của con mình để chào thầy giáo cũ.

2. Vừa tới cửa lớp, thấy thầy giáo bước ra, chú vội bỏ mũ, lễ phép chào thầy. Thầy nhấc kính, chớp mắt ngạc nhiên. Chú liền nói:

- Thưa thầy, em là Khánh, đứa học trò năm nào trèo cửa sổ lớp bị thầy phạt đấy ạ!

Thầy giáo cười vui vẻ:

- À, Khánh! Thầy nhớ ra rồi. Nhưng... hình như hôm ấy thầy có phạt em đâu!

- Vâng, thầy không phạt. Nhưng thầy buồn. Lúc ấy, thầy bảo: ""Trước khi làm việc gì, cần phải nghĩ chứ! Thôi, em về đi, thầy không phạt em đâu.""

3. Giờ ra chơi đã hết. Dũng xúc động nhìn theo bố đang đi ra phía cổng trường rồi lại nhìn khung cửa sổ lớp học. Em nghĩ: bố cũng có lần mắc lỗi, thầy không phạt, nhưng bố nhận đó là hình phạt và nhớ mãi. Nhớ để không bao giờ mắc lại nữa.",[D],Câu chuyện này có ý nghĩa như thế nào?,Câu chuyện cho thấy chú bộ đội rất yêu quý con trai của mình.,Câu chuyện cho thấy chú bộ đội hay dạy cho con trai những bài học ý nghĩa.,Câu chuyện cho thấy được người học trò cũ ngày nào cũng thương nhớ trường cũ.,Câu chuyện cho thấy lòng biết ơn và kính trọng của chú bộ đội với người thầy cũ.
"1. Giữa cảnh nhộn nhịp của giờ ra chơi, từ phía cổng trường bỗng xuất hiện một chú bộ đội. Chú là bố của Dũng. Chú tìm đến lớp của con mình để chào thầy giáo cũ.

2. Vừa tới cửa lớp, thấy thầy giáo bước ra, chú vội bỏ mũ, lễ phép chào thầy. Thầy nhấc kính, chớp mắt ngạc nhiên. Chú liền nói:

- Thưa thầy, em là Khánh, đứa học trò năm nào trèo cửa sổ lớp bị thầy phạt đấy ạ!

Thầy giáo cười vui vẻ:

- À, Khánh! Thầy nhớ ra rồi. Nhưng... hình như hôm ấy thầy có phạt em đâu!

- Vâng, thầy không phạt. Nhưng thầy buồn. Lúc ấy, thầy bảo: ""Trước khi làm việc gì, cần phải nghĩ chứ! Thôi, em về đi, thầy không phạt em đâu.""

3. Giờ ra chơi đã hết. Dũng xúc động nhìn theo bố đang đi ra phía cổng trường rồi lại nhìn khung cửa sổ lớp học. Em nghĩ: bố cũng có lần mắc lỗi, thầy không phạt, nhưng bố nhận đó là hình phạt và nhớ mãi. Nhớ để không bao giờ mắc lại nữa.",[D],Tại sao bố Dũng đến trường học?,Để họp phụ huynh đầu năm.,Để đưa đồ cho Dũng.,Để đưa Dũng đi học.,Để chào người thầy giáo cũ.
"Cây dừa xanh tỏa nhiều tàu,
Dang tay đón gió, gật đầu gọi trăng.
Thân dừa bạc phếch tháng năm,
Quả dừa - đàn lợn con nằm trên cao.
Đêm hè hoa nở cùng sao,
Tàu dừa - chiếc lược chải vào mây xanh.
Ai mang nước ngọt, nước lành,
Ai đeo bao hũ rượu quanh cổ dừa.
Tiếng dừa làm dịu nắng trưa,
Gọi đàn gió đến cùng dừa múa reo.
Trời trong đầy tiếng rì rào,
Đàn cò đánh nhịp bay vào bay ra.
Đứng canh trời đất bao la
Mà dừa đủng đỉnh như là đứng chơi.",[C],Lá dừa được ví như thứ gì?,Như cái đầu (gật đầu).,Như đàn lợn con.,Như cánh tay chiếc lược.,Như con người đứng canh gác trời đất.
"Cây dừa xanh tỏa nhiều tàu,
Dang tay đón gió, gật đầu gọi trăng.
Thân dừa bạc phếch tháng năm,
Quả dừa - đàn lợn con nằm trên cao.
Đêm hè hoa nở cùng sao,
Tàu dừa - chiếc lược chải vào mây xanh.
Ai mang nước ngọt, nước lành,
Ai đeo bao hũ rượu quanh cổ dừa.
Tiếng dừa làm dịu nắng trưa,
Gọi đàn gió đến cùng dừa múa reo.
Trời trong đầy tiếng rì rào,
Đàn cò đánh nhịp bay vào bay ra.
Đứng canh trời đất bao la
Mà dừa đủng đỉnh như là đứng chơi.",[D],Ngọn của cây dừa được ví với thứ gì?,Như đàn lợn con.,Như con người đứng canh gác trời đất.,Như cánh tay chiếc lược.,Như cái đầu (gật đầu).
"Cây dừa xanh tỏa nhiều tàu,
Dang tay đón gió, gật đầu gọi trăng.
Thân dừa bạc phếch tháng năm,
Quả dừa - đàn lợn con nằm trên cao.
Đêm hè hoa nở cùng sao,
Tàu dừa - chiếc lược chải vào mây xanh.
Ai mang nước ngọt, nước lành,
Ai đeo bao hũ rượu quanh cổ dừa.
Tiếng dừa làm dịu nắng trưa,
Gọi đàn gió đến cùng dừa múa reo.
Trời trong đầy tiếng rì rào,
Đàn cò đánh nhịp bay vào bay ra.
Đứng canh trời đất bao la
Mà dừa đủng đỉnh như là đứng chơi.",[C],Thân dừa được giống với thứ gì?,Như cái đầu (gật đầu).,Như đàn lợn con.,Như con người đứng canh gác trời đất.,Như cánh tay chiếc lược.
"Cây dừa xanh tỏa nhiều tàu,
Dang tay đón gió, gật đầu gọi trăng.
Thân dừa bạc phếch tháng năm,
Quả dừa - đàn lợn con nằm trên cao.
Đêm hè hoa nở cùng sao,
Tàu dừa - chiếc lược chải vào mây xanh.
Ai mang nước ngọt, nước lành,
Ai đeo bao hũ rượu quanh cổ dừa.
Tiếng dừa làm dịu nắng trưa,
Gọi đàn gió đến cùng dừa múa reo.
Trời trong đầy tiếng rì rào,
Đàn cò đánh nhịp bay vào bay ra.
Đứng canh trời đất bao la
Mà dừa đủng đỉnh như là đứng chơi.",[A],Quả dừa giống với thứ gì?,Như đàn lợn con.,Như con người đứng canh gác trời đất.,Như cánh tay chiếc lược.,Như cái đầu (gật đầu).
"Cây dừa xanh tỏa nhiều tàu,
Dang tay đón gió, gật đầu gọi trăng.
Thân dừa bạc phếch tháng năm,
Quả dừa - đàn lợn con nằm trên cao.
Đêm hè hoa nở cùng sao,
Tàu dừa - chiếc lược chải vào mây xanh.
Ai mang nước ngọt, nước lành,
Ai đeo bao hũ rượu quanh cổ dừa.
Tiếng dừa làm dịu nắng trưa,
Gọi đàn gió đến cùng dừa múa reo.
Trời trong đầy tiếng rì rào,
Đàn cò đánh nhịp bay vào bay ra.
Đứng canh trời đất bao la
Mà dừa đủng đỉnh như là đứng chơi.",[C],Hũ rượu được ví với thứ gì của cây dừa?,Ngọn dừa.,Tàu lá dừa.,Quả dừa.,Thân dừa.
"Cây dừa xanh tỏa nhiều tàu,
Dang tay đón gió, gật đầu gọi trăng.
Thân dừa bạc phếch tháng năm,
Quả dừa - đàn lợn con nằm trên cao.
Đêm hè hoa nở cùng sao,
Tàu dừa - chiếc lược chải vào mây xanh.
Ai mang nước ngọt, nước lành,
Ai đeo bao hũ rượu quanh cổ dừa.
Tiếng dừa làm dịu nắng trưa,
Gọi đàn gió đến cùng dừa múa reo.
Trời trong đầy tiếng rì rào,
Đàn cò đánh nhịp bay vào bay ra.
Đứng canh trời đất bao la
Mà dừa đủng đỉnh như là đứng chơi.",[D],Hình ảnh cây dừa đứng canh trời đất bao la mà dừa đủng đỉnh như là đứng chơi giúp chúng ta liên tưởng đến ai?,Người nông dân hiền lành.,Người bà đang kể chuyện.,Người thầy giáo giảng bài.,Người lính đứng canh gác.
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[A],"Nam Phi bên cạnh nổi tiếng là nước nhiều vàng, kim cương, còn nổi tiếng về điều gì?",Nạn phân biệt chủng tộc.,Nguồn lao động dồi dào.,Nhiều dầu mỏ khí đốt.,Nhiều đá quý và tài nguyên.
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[D],Chế độ phân biệt chủng tộc còn được toàn thé giới biết đến với tên gọi nào khác?,Diệt chủng khơ-me đỏ.,Ba-lai-ca.,Diệt chủng pôn-pốt.,A-pác-thai.
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[B],Chế độ a-pác-thai chỉ sự kì thị chủng tộc với những người nào?,Người da đỏ.,Người da màu.,Người da vàng.,Người da trắng.
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[C],"Dưới chế độ phân biệt chủng tộc, người da đen bị đối xử như thế nào?",Họ được sống chung bình đẳng với những người da trắng.,"Họ được quyền đấu tranh đòi tự do, bình đẳng.","Họ không được hưởng một chút tự do, dân chủ nào.","Họ được đối xử công bằng, lương bằng mức lương của người da trắng."
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[A],"Dưới chế độ a-pác-thai, ai là người nắm chính quyền, làm chủ về kinh tế?",Người da trắng.,Người da đỏ.,Người da đen.,Người da vàng.
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[D],Người Nam Phi đã làm gì để xóa bỏ chế độ phân biệt chủng tộc?,Họ đã lập Nen-xơn Man-lê-la lên làm Tổng thống để đấu tranh.,Họ đã kêu gọi sự ủng hộ và phán xử của Liên Hợp Quốc.,Họ đã cầu xin sự giúp đỡ của các vị thần.,"Họ đã đứng lên đòi bình đẳng, đấu tranh bền bỉ để giành thắng lợi."
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[A],Cuộc đấu tranh chống nạn phân biệt chủng tộc có được nhân dân thế giới ủng hộ không?,Được đông đảo nhân dân toàn thế giới ủng hộ.,Không nhận được sự ủng hộ của nhân dân thế giới.,"Bị nhân dân toàn thế giới lên án, phê phán.",Bị nhân loại quay lưng lại.
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[A],Vì sao cuộc đấu tranh chống chế độ a-pác-thai được đông đảo nhân dân trên thế giới ủng hộ?,"Vì nó đấu tranh cho tự do và công lí, chống lại chế độ bạo tàn.",Vì người da đen chiếm phần lớn dân số thế giới.,Vì sự nổi tiếng và tốt bụng của người da đen.,"Vì a-pác-thai là cuộc chiến tranh phi nghĩa, bạo tàn."
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[A],Vị Tổng thống đầu tiên của nước Cộng hòa Nam Phi tên là gì?,Nen-xơn Man-đê-la.,Zacob Zuma.,Phi-đen Cát-xtơ-rô.,Cay-xon Phôm-vi-hẳn.
"Nam Phi là một nước nổi tiếng nhiều vàng, kim cương, nhưng cũng nổi tiếng về nạn phân biệt chủng tộc. Chế độ phân biệt chủng tộc ở đây được toàn thế giới biết đến với tên gọi a-pác-thai. 

Ở nước này, người da trắng chỉ chiếm 1/5 dân số nhưng lại nắm gần 9/10 đất trồng trọt, 3/4 tổng thu nhập và toàn bộ hầm mỏ, xí nghiệp, ngân hàng,... Ngược lại, người da đen phải làm những công việc nặng nhọc, bẩn thỉu, lương chỉ bằng 1/7 hay 1/10 lương của công nhân da trắng. Họ phải sống, chữa bệnh, đi học ở những khu riêng và không được hưởng một chút quyền tự do, dân chủ nào. 

Bất bình với chế độ a-pác-thai, người da đen đã đứng lên đòi bình đẳng. Cuộc đấu tranh dũng cảm và bền bỉ của họ được sự ủng hộ của những người yêu chuộng tự do và công lí trên toàn thế giới, cuối cùng đã giành được thắng lợi. Ngày 17-6-1991, chính quyền Nam Phi buộc phải hủy bỏ sắc lệnh phân biệt chủng tộc. Ngày 27-4-1994, cuộc tổng tuyển cử đa sắc tộc đầu tiên được tổ chức. Luật sư da đen Nen-xơn Man-đê-la, người từng bị giam cầm suốt 27 năm vì đấu tranh chống chế độ a-pác-thai, được bầu làm tổng thống. Chế độ phân biệt chủng tộc xấu xa nhất hành tinh đã chấm dứt trước khi nhân loại bước vào thế kỉ XXI.",[C],"Trước sức ép đấu tranh của người da đen, chính quyền người da trắng buộc phải làm gì?",Tuyên bố từ bỏ quyền lãnh đạo.,Hủy bỏ sắc lệnh diệt chủng khơ-me đỏ.,Hủy bỏ sắc lệnh phân biệt chủng tộc.,Hủy bỏ sắc lệnh diệt chủng pôn-pốt.
"Con chim chiền chiện
Bay vút, vút cao
Lòng đầy yêu mến
Khúc hát ngọt ngào.

Cánh đập trời xanh
Cao hoài, cao vợi
Tiếng hót long lanh
Như cành sương chói.

Chim ơi, chim nói
Chuyện chi, chuyện chi?
Lòng vui bối rối
Đời lên đến thì...

Tiếng ngọc trong veo
Chim gieo từng chuỗi
Lòng chim vui chiều
Hót không biết mỏi.

Chim bay, chim sà
Lúa tròn bụng sữa
Đồng quê chan chứa
Những lời chim ca

Bay cao, cao vút
Chim biến mất rồi
Chỉ còn tiếng hót
Làm xanh da trời...",[B],Bài thơ này mô tả về con chim nào?,Sáo.,Chiền chiện.,Cú.,Khướu.
